WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor,distribution
wfo-1200115711,urn:lsid:ipni.org:names:77372309-1,Alsine thymifolia var. syriaca,Boiss.,Fl. Orient. [Boissier] 1: 687. 1867 [Apr-Jun 1867] ,,,,"Lebanon (Lebanon-Syria, Western Asia, Asia-Temperate)"
wfo-1000086425,urn:lsid:ipni.org:names:77372322-1,Hyacinthella ulgeniana,Demirci,Res. Türkiye Fl. 4a: 300. 2024 ,,,,"Turkey (Western Asia, Asia-Temperate)"
wfo-1000086424,urn:lsid:ipni.org:names:77372323-1,Ornithogalum andirinense,Uysal & Tugay,Res. Türkiye Fl. 4a: 183. 2024 ,,,,"Turkey (Western Asia, Asia-Temperate)"
wfo-1000086422,urn:lsid:ipni.org:names:77372324-1,Ornithogalum hatilaense,Uysal & Ertuğrul,Res. Türkiye Fl. 4a: 147. 2024 ,,,,"Turkey (Western Asia, Asia-Temperate)"
wfo-1000086421,urn:lsid:ipni.org:names:77372325-1,Ornithogalum longipedicellatum,Uysal,Res. Türkiye Fl. 4a: 114. 2024 ,,,,"Turkey (Western Asia, Asia-Temperate)"
wfo-1000086420,urn:lsid:ipni.org:names:77372326-1,Ornithogalum odemisense,Uysal & Dural,Res. Türkiye Fl. 4a: 190. 2024 ,,,,"Turkey (Western Asia, Asia-Temperate)"
wfo-1000086415,urn:lsid:ipni.org:names:77372333-1,Allium crassum,"Özhatay, Koçyiğit & E.Kaya",Res. Türkiye Fl. 3b: 220. 2023 ,,,,"Turkey (Western Asia, Asia-Temperate)"
wfo-1000086404,urn:lsid:ipni.org:names:77372334-1,Allium erzurumicum,Koçyiğit & Özhatay,Res. Türkiye Fl. 3b: 468. 2023 ,,,,"Turkey (Western Asia, Asia-Temperate)"
wfo-1000086414,urn:lsid:ipni.org:names:77372335-1,Allium tankerorum,"Ekşi, Koyuncu & H.Duman","Res. Türkiye Fl. 3b: 350. 2023 , as 'tankeriorum'",,,,"Turkey (Western Asia, Asia-Temperate)"
wfo-0000745517,urn:lsid:ipni.org:names:77372340-1,Pulmonaria picta,Rouy,Fl. France [Rouy & Foucaud] 10: 297. 1908 ,,,,"France (Southwestern Europe, Europe)"
wfo-1000086336,urn:lsid:ipni.org:names:77372471-1,Asyneuma corymbosum,Aytaç & T.Ertuğrul,Phytotaxa 730(3): 286. 2025 [21 Nov 2025] [epublished],,,,"Turkey (Western Asia, Asia-Temperate)"
wfo-1200115714,urn:lsid:ipni.org:names:77372515-1,Sabulina laricifolia var. incana,Rchb.,"Icon. Fl. Germ. Helv. (H.G.L. Reichenbach) 5: 31, t. 212. 1842 ",,,,"Germany (Middle Europe, Europe)"
wfo-1000086406,urn:lsid:ipni.org:names:77372548-1,Quercus × estremarotundifolia,F.M.Vázquez,Folia Bot. Extremadur. 19: 44. 2025 [Nov 2025] ,,,,"Spain (Spain, Southwestern Europe, Europe)"
wfo-1000086409,urn:lsid:ipni.org:names:77372549-1,Quercus × estremasuber,F.M.Vázquez,Folia Bot. Extremadur. 19: 44. 2025 [Nov 2025] ,,,,"Spain (Spain, Southwestern Europe, Europe)"
